,Brand,Product_Name,Hex_Value,Hue,Saturation,Value,Lightness,Group
61,Beauty Bakerie,#1 CAKE MIX,d6a878,31.0,0.44,0.84,72,Black Founded BIPOC-recommended Brands
62,Beauty Bakerie,#1 CAKE MIX,d0a37f,27.0,0.39,0.82,71,Black Founded BIPOC-recommended Brands
63,Beauty Bakerie,#1 CAKE MIX,f1c78e,35.0,0.41,0.95,83,Black Founded BIPOC-recommended Brands
64,Beauty Bakerie,#1 CAKE MIX,f2cea2,33.0,0.33,0.95,85,Black Founded BIPOC-recommended Brands
65,Beauty Bakerie,#1 CAKE MIX,f5dab6,34.0,0.26,0.96,89,Black Founded BIPOC-recommended Brands
66,Beauty Bakerie,#1 CAKE MIX,e9c096,30.0,0.36,0.91,81,Black Founded BIPOC-recommended Brands
67,Beauty Bakerie,#1 CAKE MIX,edcbab,29.0,0.28,0.93,84,Black Founded BIPOC-recommended Brands
68,Beauty Bakerie,#1 CAKE MIX,f2dac1,31.0,0.2,0.95,89,Black Founded BIPOC-recommended Brands
69,Beauty Bakerie,#1 CAKE MIX,f2dbbb,35.0,0.23,0.95,89,Black Founded BIPOC-recommended Brands
70,Beauty Bakerie,#1 CAKE MIX,f3dabc,33.0,0.23,0.95,89,Black Founded BIPOC-recommended Brands
71,Beauty Bakerie,#1 CAKE MIX,f3dbbc,34.0,0.23,0.95,89,Black Founded BIPOC-recommended Brands
72,Beauty Bakerie,#1 CAKE MIX,f6e2c7,34.0,0.19,0.96,91,Black Founded BIPOC-recommended Brands
73,Beauty Bakerie,#1 CAKE MIX,f4dfc9,31.0,0.18,0.96,90,Black Founded BIPOC-recommended Brands
74,Beauty Bakerie,#1 CAKE MIX,f9ecc5,45.0,0.21,0.98,94,Black Founded BIPOC-recommended Brands
75,Beauty Bakerie,#1 CAKE MIX,f9ebcd,41.0,0.18,0.98,94,Black Founded BIPOC-recommended Brands
76,Beauty Bakerie,#1 CAKE MIX,f3e2ce,32.0,0.15,0.95,91,Black Founded BIPOC-recommended Brands
77,Beauty Bakerie,#1 CAKE MIX,f5e8d7,34.0,0.12,0.96,93,Black Founded BIPOC-recommended Brands
78,Black Up,Matifying Fluid,eed1b5,29.0,0.24,0.93,86,Black Founded BIPOC-recommended Brands
